phoneme,Horizontal,Vertical,Round
a,Front,Low,N
e,Front,High-Mid,N
i,Front,High,N
u,Back,High,Y
æ,Front,Low,N
ɑ,Back,Low,N
ɒ,Back,Low,Y
ɔ,Back,Low-Mid,Y
ə,Central,Mid,N
ɜ,Central,Low-Mid,N
ɪ,Front,High,N
ʊ,Back,High,Y
ʌ,Back,Low-Mid,N
